SYMBOL_CODE,SYMBOL_NAME,MARKET_TYPE,ASSETS_TYPE,PUBLIC_DATE,INDUSTRY
有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode
080861　國巨國票3A購01,TW24Z0808616,2024/02/26,上市,,RWSCCA
080862　華泰國票39購06,TW24Z0808624,2024/02/26,上市,,RWSCCA
080863　菱生國票39購03,TW24Z0808632,2024/02/26,上市,,RWSCCA
080864　聯發科國票39購07,TW24Z0808640,2024/02/26,上市,,RWSCCA
080865　長榮航國票3B購01,TW24Z0808657,2024/02/26,上市,,RWSCCA
080866　晶豪科國票38購04,TW24Z0808665,2024/02/26,上市,,RWSCCA
080867　玉晶光國票39購02,TW24Z0808673,2024/02/26,上市,,RWSCCA
080868　定穎控國票39購04,TW24Z0808681,2024/02/26,上市,,RWSCCA
080869　定穎控國票39購05,TW24Z0808699,2024/02/26,上市,,RWSCCA
08086T　滬深2X中信3A售02,TW24Z08086T0,2024/04/30,上市,,RWBCPE
080870　台耀國票39購03,TW24Z0808707,2024/02/26,上市,,RWSCCA
080871　來頡國票3A購01,TW24Z0808715,2024/02/26,上市,,RWSCCA
080872　義隆富邦42購01,TW24Z0808723,2024/02/26,上市,,RWSCCA
080873　大立光富邦42購01,TW24Z0808731,2024/02/26,上市,,RWSCCA
080874　聯詠富邦3A購02,TW24Z0808749,2024/02/26,上市,,RWSCCA
080875　聯詠富邦3C購01,TW24Z0808756,2024/02/26,上市,,RWSCCA
080876　士電中信39購02,TW24Z0808764,2024/02/26,上市,,RWSCCE
080877　中砂中信38購01,TW24Z0808772,2024/02/26,上市,,RWSCCE
080878　川湖中信3A購01,TW24Z0808780,2024/02/26,上市,,RWSCCE
080879　川湖中信3B購01,TW24Z0808798,2024/02/26,上市,,RWSCCE
08087T　台灣50富邦42售02,TW24Z08087T8,2024/04/30,上市,,RWBCPE
080880　聯發科中信38購04,TW24Z0808806,2024/02/26,上市,,RWSCCE
080881　緯創中信38購06,TW24Z0808814,2024/02/26,上市,,RWSCCE
080882　大聯大中信38購01,TW24Z0808822,2024/02/26,上市,,RWSCCE
080883　矽力中信38購04,TW24Z0808830,2024/02/26,上市,,RWSCCE
080884　巨大中信38購01,TW24Z0808848,2024/02/26,上市,,RWSCCE
080885　滬深2X永豐38購15,TW24Z0808855,2024/02/26,上市,,RWBCCA
080886　滬深2X永豐38購16,TW24Z0808863,2024/02/26,上市,,RWBCCA
080887　滬深2X永豐38購17,TW24Z0808871,2024/02/26,上市,,RWBCCA
080888　中興電永豐38購03,TW24Z0808889,2024/02/26,上市,,RWSCCA
080889　亞力永豐38購01,TW24Z0808897,2024/02/26,上市,,RWSCCA
08088T　台灣50富邦42售03,TW24Z08088T6,2024/04/30,上市,,RWBCPE
080890　中砂永豐38購02,TW24Z0808905,2024/02/26,上市,,RWSCCA
080891　中砂永豐3A購02,TW24Z0808913,2024/02/26,上市,,RWSCCA
080892　台達電永豐3A購01,TW24Z0808921,2024/02/26,上市,,RWSCCA
080893　台光電永豐39購04,TW24Z0808939,2024/02/26,上市,,RWSCCA
080894　鉅祥永豐3B購02,TW24Z0808947,2024/02/26,上市,,RWSCCA
080895　晶技永豐3A購01,TW24Z0808954,2024/02/26,上市,,RWSCCA
080896　新日興永豐3A購02,TW24Z0808962,2024/02/26,上市,,RWSCCA
080897　定穎控永豐38購03,TW24Z0808970,2024/02/26,上市,,RWSCCA
080898　虹堡永豐38購02,TW24Z0808988,2024/02/26,上市,,RWSCCA
080899　士電統一42購03,TW24Z0808996,2024/02/26,上市,,RWSCCA
08089T　鴻海富邦3C售06,TW24Z08089T4,2024/04/30,上市,,RWSCPE
